ATIVO,ENTRADA,ACTION,VALOR
EUR/USD,00:10,CALL,12.50
GBP/JPY,06:45,CALL,12.50
AUD/USD,00:00,PUT,12.50
GBP/JPY,00:15,PUT,12.50
EUR/AUD,00:30,PUT,12.50
USD/CHF,01:15,PUT,12.50
AUD/JPY,01:30,PUT,12.50
EUR/AUD,02:00,PUT,12.50
EUR/USD,02:45,PUT,12.50
GBP/CAD,03:00,PUT,12.50
EUR/NZD,03:15,PUT,12.50
USD/CAD,03:30,PUT,12.50
GBP/CHF,04:00,PUT,12.50
AUD/USD,04:30,PUT,12.50
GBP/CAD,05:00,PUT,12.50
USD/JPY,05:30,PUT,12.50
GBP/AUD,06:00,PUT,12.50
EUR/AUD,06:30,PUT,12.50
EUR/CAD,07:00,PUT,12.50
USD/CAD,07:15,PUT,12.50
GBP/JPY,07:45,PUT,12.50
EUR/CAD,08:15,PUT,12.50
EUR/AUD,08:45,PUT,12.50
EUR/JPY,09:15,PUT,12.50
EUR/NZD,09:45,PUT,12.50
AUD/JPY,10:15,PUT,12.50 
EUR/AUD,10:45,PUT,12.50
USD/JPY,11:15,PUT,12.50
GBP/JPY,11:45,PUT,12.50
AUD/JPY,12:45,PUT,12.50
GBP/AUD,13:15,PUT,12.50
AUD/JPY,14:00,PUT,12.50
GBP/CAD,14:30,PUT,12.50
USD/CAD,14:45,PUT,12.50
EUR/CAD,15:00,PUT,12.50